name,highSchool,town,state,weightClass,placement,year
"Hayden Hidlay","Mifflin County High School",Lewistown,Pennsylvania,157,5,2020
"Brayton Lee","Brownsburg High School",Brownsburg,Indiana,157,6,2020
"Kaleb Young","Punxsutawney High School",Punxsutawney,Pennsylvania,157,7,2020
"Wyatt Sheets","Stilwell High School",Stilwell,Oklahoma,157,8,2020
"Shane Griffith","Bergen Catholic High School",Westwood,"New Jersey",165,1,2020
"Jake Wentzel","South Park High School","South Park",Pennsylvania,165,2,2020
"Keegan O`Toole","Arrowhead High School",Hartland,Wisconsin,165,3,2020
"Travis Wittlake","Marshfield High School","Coos Bay",Oregon,165,4,2020
"Ethan Smith","Sparrows Pount High School",Latrobe,Pennsylvania,165,5,2020
"Zach Hartman","Belle Vernon Area High School","Belle Vernon",Pennsylvania,165,6,2020
"Cameron Amine","Detroit Catholic Central High School",Brighton,Michigan,165,7,2020
"Anthony Valencia","St. John Bosco High School",Bellflower,California,165,8,2020
"Carter Starocci","Cathedral Preparatory School",Erie,Pennsylvania,174,1,2020
"Michael Kemerer","Franklin Regional High School",Murrysville,Pennsylvania,174,2,2020
"Mikey Labriola","Bethlehem Catholic High School",Easton,Pennsylvania,174,3,2020
"Bernie Truax","Rancho Buena Vista High School",Oceanside,California,174,4,2020
"Logan Massa","St. Johns  High School","St. Johns",Michigan,174,5,2020
"Demetrius Romero","Mountain View High School",Meridian,Idaho,174,6,2020
"Daniel Bullard","Archer High School",Lawrenceville,Georgia,174,7,2020
"Jackson Turley","St. Christopher's High School",Chester,Virginia,174,8,2020
"Aaron Brooks","North Hagerstown High School",Hagerstown,Maryland,184,1,2020
"Trent Hidlay","Mifflin County High School",Lewistown,Pennsylvania,184,2,2020
"Parker Keckeisen","Nicolet High School",Glendale,Wisconsin,184,3,2020
"John Poznanski","Colonia High School",Colonia,"New Jersey",184,4,2020
"Dakota Geer","Franklin Area High",Franklin,Pennsylvania,184,5,2020
"Brit Wilson","Mexico High School",Mexico,Missouri,184,6,2020
"Hunter Bolen","Christiansburg High School",Floyd,Virginia,184,7,2020
"Lou Deprez","Hilton High School",Hilton,"New York",184,8,2020
"AJ Ferrari","Allen High School",Allen,Texas,197,1,2020
"Nino Bonaccorsi","Bethel Park High School","Bethel Park",Pennsylvania,197,2,2020
"Myles Amine","Detroit Catholic Central High School",Brighton,Michigan,197,3,2020
"Jacob Warner","Washington Community High School",Tolono,Illinois,197,4,2020
"Rocky Elam","Staley High School","Kansas City",Missouri,197,5,2020
"Jake Woodley","North Alleghany High School",Pittsburgh,Pennsylvania,197,6,2020
"Michael Beard","Malvern Preparatory School",Reading,Pennsylvania,197,7,2020
"Stephen Buchanan","Loyal High School",Loyal,Wisconsin,197,8,2020
"Gable Steveson","Apple Valley High School","Apple Valley",Minnesota,285,1,2020
"Mason Parris","Lawrenceburg High School",Lawrenceburg,Indiana,285,2,2020
"Tony Cassioppi","Hononegah High School",Roscoe,Illinois,285,3,2020
"Cohlton Schultz","Ponderosa High School",Parker,Colorado,285,4,2020
"Gannon Gremmel","Hempstead High School",Dubuque,Iowa,285,5,2020
"Trent Hillger","Lake Fenton High School",Holly,Michigan,285,6,2020
"Greg Kerkvliet","Simley High School","Inver Grove Heights",Minnesota,285,7,2020
"Tate Orndorff","University High School",Spokane,Washington,285,8,2020
