name,highSchool,town,state,weightClass,placement,year
"Max Dean","Lowell High School",Lowell,Michigan,197,7,2022
"Jacob Cardenas","Bergen Catholic High School",Kearny,"New Jersey",197,8,2022
"Mason Parris","Lawrenceburg High School",Lawrenceburg,Indiana,285,1,2022
"Greg Kerkvliet","Simley High School","Inver Grove Heights",Minnesota,285,2,2022
"Wyatt Hendrickson","Newton High School",Newton,Kansas,285,3,2022
"Tony Cassioppi","Hononegah High School",Roscoe,Illinois,285,4,2022
"Lucas Davison","Chesterton High School",Chesterton,Indiana,285,5,2022
"Zach Elam","Staley High School","Kansas City",Missouri,285,6,2022
"Cohlton Schultz","Ponderosa High School",Parker,Colorado,285,7,2022
"Trent Hillger","Lake Fenton High School",Holly,Michigan,285,8,2022
